,EPISODE,TITLE,AIRED ON,SUMMARY,RATING
0,E1,Birth and childhood of Lord Ram,"Sun, Jan 25, 1987",The saga of Ramayan Gods' Prayers to Lord Vishnu King Dashrath's yagna invoking blessings for a son Birth and childhood of Shri Ram.,7.5
1,E2,Rama going to Gurukul,"Sun, Feb 1, 1987",Childhood of Shri Ram Thread Ceremony of Shri Ram Fundamental education imparted Shri Ram in Gurukul.,8.7
2,E3,Continuing Gurukul,"Sun, Feb 8, 1987",Continuation of education in Gurukul Vedanta Invocating praises to Lord Shiv Culmination of education in Gurukul.,8.9
3,E4,Vishwamitra comes to Ayodhya and Ram kills Taraka Rakshasi,"Sun, Feb 15, 1987",Return To Ayodhya Vishwamitra requests King Dashrath for his son Ram to accompany him Ram slays Tadka Vishwamitra bestows divine weapons upon Ram Warfare of Ram and Lakshman with Subahu and Mareech.,8.9
4,E5,Ganga Redemption of Ahilya,"Sun, Mar 1, 1987",Shri Ram and Lakshman proceed to Mithila Story to the origin of the Ganga Redempion of Ahilya Shri Ram and Lakshman walk through the streets of Mithila.,8.8
5,E6,Ram meets Sita,"Sun, Mar 8, 1987","Janak welcomes Vishwamitra, Ram and Lakshman in Mithila, where Vishwamitra has decided to take a rest. While in there, Ram first sets eyes upon Janak's daughter, Princess Sita; in the royal garden.",8.9
6,E7,Sita's Swayamvara,"Sun, Mar 15, 1987","Seeking a suitable husband for his daughter, Janak holds a Swayamvar. Kings and Princes from all over come to Mithila seeking Sita's hand in marriage, yet fail to pass King Janak's test of stringing the Shiv Dhanush bow.",9.1
7,E8,Sita's swayamvar and Parasuram,"Sun, Mar 22, 1987","Shiv Dhanus was broken by prince Rama when he attempted to string the bow, during the swayamvara of Sita, thereby winning the princess's hand in marriage. After the marriage when his father Dasharatha was returning to Ayodhya with Rama, Parashurama obstructed their path and challenged Rama for breaking his guru Shiva's bow.",9.0
8,E9,Marriage Preparations,"Sun, Mar 29, 1987","King Janak sends word to Ayodhya to inform King Dasharath of the engagement of their two children. Overjoyed, the entire Ayodhya royal family come to Mithila to prepare for the wedding. After further discussion between the two royal families, it is decided that the four princes of Ayodhya will wed the four princesses of Videha.",8.6
9,E10,Ram and Sita's Marriage,"Sun, Apr 5, 1987",Ram and Sita are married in a grand ceremony as the whole of Mithila celebrates.,8.7
10,E11,Sita's arrival at Ayodhya,"Sun, Apr 12, 1987","King Janak tearfully bids farewell tho his beloved daughter Sita, as she departs for Ayodhya with her new husband and family. The four daughters-in-law are welcomed in Ayodhya.",8.8
11,E12,Discussion on Dasharatha's heir,"Sun, Apr 19, 1987","Vishwamitra releases Ram and Lakshman from his service and departs Ayodhya. King Dashrath decides to appoint Ram as his heir and and abdicate from the throne. While the whole of Ayodhya celebrates, Kaikeyi's maid Manthra disapproves.",8.8
12,E13,Rajyabhishek,"Sun, Apr 26, 1987",Celebrations mark the proclamation of Ram as heir to the throne but Manthra provokes Kaikayee into sabotaging the coronation.,8.9
